dataset,sequence,scenario,vehicle,modalities,format,size_gb_advertised,size_gib_probe,duration_s,difficulty,probe_status,recommended_use,directly_comparable_to_oda,download_url,topic_summary
Multi-LiDAR Multi-UAV,HolybroStnd01,structured indoor up/down,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,8.5,,31.6,Easy,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,HolybroStnd02,structured indoor square,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,24.4,,90,Easy,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,HolybroStnd03,structured indoor circle,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,20.6,,76,Easy,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,HolybroStnd04,structured indoor spiral,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,26.5,,98,Easy,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Holybro01,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,18.5,,68,Easy,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Holybro02,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,19.4,,72,Easy,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Holybro03,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,21.8,,81,Easy,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Holybro04,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,20.8,,77,Medium,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,Holybro05,unstructured indoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,25.0,,93,Medium,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
Multi-LiDAR Multi-UAV,HolybroOut01,unstructured outdoor,UAV target tracked by external LiDAR rig,OS1-64 LiDAR; Livox Mid-360; Livox Avia; RGB-D/RGB; IMU; MOCAP,ROS bag,10.1,,37.8,Medium,ok,cross-dataset UAV tracking/perception stress test,"partial: UAV + MOCAP, but tracking dataset not obstacle-avoidance benchmark",https://tiers.github.io/multi_lidar_multi_uav_dataset/,
